Item,ReleaseType,WaveName,ReleaseYear,ProductLine,PropertyName,Manufacturer
Slicking Erik the Barbaric,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Snapping Chest Flytrap,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Special Edition Auto-Morphin Metallic Black Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Special Edition Auto-Morphin Metallic Blue Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Special Edition Auto-Morphin Metallic Pink Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Special Edition Auto-Morphin Metallic Red Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Special Edition Auto-Morphin Metallic White Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Special Edition Auto-Morphin Metallic Yellow Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Spinning Head Master Vile,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Sword Slashing Goldar,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Talking Black Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Talking Blue Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Talking Lord Zed,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Talking Pink Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Talking Red Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Talking White Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Talking Yellow Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Tengu Warrior,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
The Return of Titanus,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Thunder Bike with Black Ranger,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Thunder Bike with Blue Ranger,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Thunder Bike with Pink Ranger,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Thunder Bike with Red Ranger,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Thunder Bike with Yellow Ranger,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
White Ninja Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
White Ranger's Deluxe Falconzord,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
White Ranger's Deluxe Falconzord (Movie),Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
White Ranger's Shark Cycle,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Yellow Ninja Ranger,Figure,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Yellow Ranger's Shark Cycle,Vehicle,Wave 3,1995,Mighty Morphin Power Rangers,Power Rangers,Bandai
Andro-Skeleton Leo,Figure,Wave 9,1996,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Donatello's Doomsday Defense Base Playset,Mini,Wave 9,1996,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Dynatronic Donatello,Figure,Wave 9,1996,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Leonardo's Battle Castle Playset,Mini,Wave 9,1996,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Michael Angelo's Cyber-Command Center Playset,Mini,Wave 9,1996,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Raphael's Samarai Sewer Lair Playset,Mini,Wave 9,1996,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
